Hashtag,id,screen_name,Tweet Text,URL
#InfiniteKusama,8.57032E+17,BrHague,I think someone brought their own sticker.  #infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/sId8TFXZA0,https://www.instagram.com/p/BTVDFZHBQ5j/
#InfiniteKusama,8.57016E+17,x35215,"Blue + Yellow = Green JME#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/85FChyC345",https://www.instagram.com/p/BTU7ZEYDjXA/
#InfiniteKusama,8.57014E+17,x35215,"Be vewy, vewy, quiet. We're hunting phallis!#infinitekusama @ Hirshhorn Museum and Sculptureâ€_ https://t.co/VDoQOXoWXh",https://www.instagram.com/p/BTU6oNkD7B2/
#InfiniteKusama,8.57003E+17,schizoalias,No one better ask me to take their picture in one of Kusama's Infinity rooms. #infinitekusama,
#InfiniteKusama,8.57001E+17,mosaicdistrict,RT @dolcezzagelato: To brighten a gloomy day: Our @mosaicdistrict manager Lauren at #infinitekusama. Photos from staff day @hirshhorn: httpâ€_,
#InfiniteKusama,8.56997E+17,MarieMcG23,Today I had the opp to explore #infinitekusama with curator Mika Yoshitake @hirshhorn . It was a true pleasure! https://t.co/PpzYaavPkn,https://www.facebook.com/natgeotravel/videos/10154776394633992/
#InfiniteKusama,8.56997E+17,ArtTalkHawaii,RT @hirshhorn: Advance Timed Passes for May 2-8 have been claimed. #InfiniteKusama https://t.co/laAyepU6zH,https://twitter.com/hirshhorn/status/856533448235900939
#InfiniteKusama,8.56996E+17,LacyMB,At the @hirshhorn to finally see #InfiniteKusama and I'm so excited! _Ÿ˜± https://t.co/9AXqf2Y5HA,
#InfiniteKusama,8.56982E+17,dolcezzagelato,To brighten a gloomy day: Our @mosaicdistrict manager Lauren at #infinitekusama. Photos from staff day @hirshhorn:â€_ https://t.co/EIp8HWytDQ,https://twitter.com/i/web/status/856982003136299008
#InfiniteKusama,8.56978E+17,tossassnyc,The exhibit was phenomenal. I feel so fortunate to have gotten the opportunity to see this amazing work. @hirshhornâ€_ https://t.co/ZXZTLNyH92,https://twitter.com/i/web/status/856978238173831168
#InfiniteKusama,8.56976E+17,LeoSheridan,All of the lights.... #kusama #infinitekusama https://t.co/cW7QQteJbA,
#InfiniteKusama,8.56975E+17,__Mia__Wallace,RT @kellyskeen: Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,
#InfiniteKusama,8.56974E+17,v_hsux,#AftermathOfObliterationOfEternity âœ¨_Ÿ’«_Ÿ•¯ #YayoiKusama #èç‰é–“å_Œç”Ÿ #InfinityMirrors #InfiniteKusamaâ€_ https://t.co/Uw1drC7Xro,https://www.instagram.com/p/BTUoVYQgOZ8/
#InfiniteKusama,8.5697E+17,aureli651,"RT @hirshhorn: Happy #WomensHistoryMonth, we're celebrating with Yayoi Kusama! Explore more: https://t.co/1TdNbYTpgQ #InfiniteKusama https:â€_",http://kusama.si.edu
#InfiniteKusama,8.56968E+17,mrsplacedsoul,Who says DC is boring? #infinitekusama #hirshhorn #latergram @ Hirshhorn Museum and Sculptureâ€_ https://t.co/str0awSDB3,https://www.instagram.com/p/BTUltJEBlfx/
#InfiniteKusama,8.56962E+17,cjfluker,#infinitekusama provides an infinite amount of fun! Thanks @hirshhorn for bringing this to #dc #art lovers https://t.co/FpaHYYisfx,
#InfiniteKusama,8.56959E+17,Moniorti,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZwâ€_",http://bit.ly/NGTKusama
#InfiniteKusama,8.56949E+17,AntionetteMcMas,RT @kellyskeen: Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,
#InfiniteKusama,8.56949E+17,SusanLeeTweets,RT @hirshhorn: _Ÿ”´_Ÿ___Ÿ”µâ_ªï¸è_Ÿ_¶ #InfiniteKusama https://t.co/ozQAZT1gw4,https://twitter.com/iainlovetheatre/status/855088832714113024
#InfiniteKusama,8.56949E+17,hirshhorn,RT @HeidiLaurie: Loved this polka dot frenzy @hirshhorn #infinitekusama https://t.co/6wPtNLUmQd,
#InfiniteKusama,8.56949E+17,hirshhorn,RT @kellyskeen: Aftermath of Obliteration of Eternity #infinitekusama @hirshhorn https://t.co/AOPORjdMIT,
#InfiniteKusama,8.56948E+17,hirshhorn,_Ÿ”´_Ÿ___Ÿ”µâ_ªï¸è_Ÿ_¶ #InfiniteKusama https://t.co/ozQAZT1gw4,https://twitter.com/iainlovetheatre/status/855088832714113024
#InfiniteKusama,8.56947E+17,hirshhorn,Thanks for visiting #InfiniteKusama! âœ¨ https://t.co/VPosLhPKB5,https://twitter.com/iainlovetheatre/status/855075281572442112
#InfiniteKusama,8.56932E+17,AROMATIC_F,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",
#InfiniteKusama,8.56924E+17,funsizeflier,RT @eatlivetraveldr: There's a few weeks left to see #infinitekusama at the @hirshhorn in #WashingtonDC --&gt; https://t.co/noitaAZwAO #travelâ€_,http://bit.ly/2l0Zbp4
#InfiniteKusama,8.56912E+17,corinne_fal,"If you don't Instagram #InfiniteKusama, did you really go to #InfiniteKusama? https://t.co/E9T3k167yT https://t.co/crqjgAOTS3",http://ift.tt/2q1w88B
