Hashtag,id,screen_name,Tweet Text,URL,date
#InfiniteKusama,8.574E+17,xoxomaierr,Showing off my #denisonpride at the Hirshhorn Museum #denison2021 #denisonandme #infinitekusamaâ€_ https://t.co/E2tVumJjkx,https://twitter.com/i/web/status/857399720490266625,
#InfiniteKusama,8.57399E+17,rjne1407,"RT @IamKeonte: I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he said, ""thisâ€_",,
#InfiniteKusama,8.57357E+17,fi_wils,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.57349E+17,FoodieTots,Can't keep her away... #infinitekusama #athirshhorn #dcwithkids https://t.co/zct7ZL1YRx,,
#InfiniteKusama,8.57345E+17,MANMWA2,"RT @hirshhorn: Yayoi Kusama's ""Infinity Mirrors"" and radical self-awareness https://t.co/tfjapLKD2y via @city_paper #InfiniteKusama",http://fw.to/eTWTdFh,
#InfiniteKusama,8.57341E+17,city_paper,"RT @hirshhorn: Yayoi Kusama's ""Infinity Mirrors"" and radical self-awareness https://t.co/tfjapLKD2y via @city_paper #InfiniteKusama",http://fw.to/eTWTdFh,
#InfiniteKusama,8.5734E+17,joaomesquita69,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.57339E+17,mauralcallahan,"RT @hirshhorn: Yayoi Kusama's ""Infinity Mirrors"" and radical self-awareness https://t.co/tfjapLKD2y via @city_paper #InfiniteKusama",http://fw.to/eTWTdFh,
#InfiniteKusama,8.5733E+17,hirshhorn,"Yayoi Kusama's ""Infinity Mirrors"" and radical self-awareness https://t.co/tfjapLKD2y via @city_paper #InfiniteKusama",http://fw.to/eTWTdFh,
#InfiniteKusama,8.57329E+17,WeezieWeaver,#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/AycTnWVFGU,https://www.instagram.com/p/BTXKCBzhNmB/,
#InfiniteKusama,8.57329E+17,WeezieWeaver,#infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/GAXVxZse4g,https://www.instagram.com/p/BTXJyDghKMg/,
#InfiniteKusama,8.57328E+17,WeezieWeaver,#infinitekusama #hirshhorn @ Hirshhorn Museum and Sculpture Garden https://t.co/m7pOtPxdus,https://www.instagram.com/p/BTXJpQ3hWgo/,
#InfiniteKusama,8.57327E+17,steadman_amanda,You can still get a selfie with the outdoor pumpkin. #infinitekusamaâ€_ https://t.co/0h0K2i7sYW,https://www.instagram.com/p/BTXI3AQgN1FJxR3hP-rbLDulyUflNgjw7pHhrc0/,
#InfiniteKusama,8.57324E+17,BrianFeldman,"Last âè° I was in a Kusama Infinity Mirror Room: 2004*Person in line today @hirshhorn: 15thSelfies: 0_Ÿ™è#InfiniteKusama*@whitneymuseum",,
#InfiniteKusama,8.57322E+17,steadman_amanda,Obviously needed a selfie with the piano. #infinitekusamaâ€_ https://t.co/v6VC4Wi39J,https://www.instagram.com/p/BTXGy6Ug7sgg1XZmZZLL4fx20IlbjJEu73iZQc0/,
#InfiniteKusama,8.57319E+17,goodlysnow,"RT @juhitariq: Me, when I finally obtain a pass to see the #infinitekusama exhibit @hirshhorn #hirshorn #YayoiKusama https://t.co/GSgOfZI3N2",,
#InfiniteKusama,8.57314E+17,steadman_amanda,Tentacles. #infinitekusama @ Hirshhorn Museum and Sculpture Garden https://t.co/T19Nhqb167,https://www.instagram.com/p/BTXDFIwgUJL37rozKye6IyV3An0edCDUAvg_uM0/,
#InfiniteKusama,8.57312E+17,steadman_amanda,Dots Obsession--Love Transformed into Dots #infinitekusamaâ€_ https://t.co/yloSCQ3GLN,https://www.instagram.com/p/BTXCKWcAJArQAzodJppGxq-MgpV6B5Ukig1TCE0/,
#InfiniteKusama,8.57311E+17,IamKeonte,Choosing the perfect place for each polka dot is an art within itself. @hirshhorn #InfiniteKusama #InfinityMirrors https://t.co/Sq4X7k51E2,,
#InfiniteKusama,8.57308E+17,Brookie65,@hirshhorn Delighted to catch #infinitekusama in #washingtondc before it goes on tour. Stunning https://t.co/gPkNi9b4V2,,
#InfiniteKusama,8.57306E+17,CuntsRCozy,"RT @IamKeonte: I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he said, ""thisâ€_",,
#InfiniteKusama,8.57306E+17,jennib3,"RT @IamKeonte: I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he said, ""thisâ€_",,
#InfiniteKusama,8.57306E+17,fishergallery,"RT @IamKeonte: I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he said, ""thisâ€_",,
#InfiniteKusama,8.57305E+17,holontrap,"RT @IamKeonte: I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he said, ""thisâ€_",,
#InfiniteKusama,8.57305E+17,hirshhorn,"RT @IamKeonte: I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he said, ""thisâ€_",,
#InfiniteKusama,8.57291E+17,hirshhorn,"#InfiniteKusama same-day walk-up passes have all been claimed for today, April 26. https://t.co/QVQ1ebgv1n",https://hirshhorn.si.edu/kusama/visitor-info/,
#InfiniteKusama,8.57276E+17,KirstyHickey,RT @LacyMB: .@hirshhorn The entire exhibit is a breathtaking experience. @hirshhorn #InfiniteKusama https://t.co/K2Px9Cr1O8,,
#InfiniteKusama,8.57268E+17,IamKeonte,I took my little guy to .@hirshhorn today to see #InfiniteKusama #InfinityMirrors. Before entering each room he saiâ€_ https://t.co/lSxS184lBQ,https://twitter.com/i/web/status/857268415106625536,
#InfiniteKusama,8.57244E+17,katlynletrieze,Been waiting in line for an hour and a half just so I can get the same Facebook profile pic as everyone else #infinitekusama,,
#InfiniteKusama,8.57242E+17,artversed,"RT @artsy: Immerse yourself in one of Yayoi Kusamaâ€™s most iconic Infinity Mirror Rooms, now on view at the @Hirshhorn. #InfiniteKusama httpâ€_",,
#InfiniteKusama,8.57242E+17,Stella_and_mom,#infinitekusama https://t.co/gfmMDcG7ym,,
#InfiniteKusama,8.57236E+17,SabrinaMcNeal,"Last night in the ""Aftermath of Obliteration of Eternity"" #infinitekusama #infinitymirrors #kusamaexhibit @hirshhorn https://t.co/NN3dTl4aYm",,
#InfiniteKusama,8.57222E+17,awmccall,"Serious thanks to @hirshhorn for bringing #InfiniteKusama to DC. It's been a few days since my visit, and I'm still processing the works.",,
#InfiniteKusama,8.57218E+17,hirshhorn,RT @LacyMB: .@hirshhorn The entire exhibit is a breathtaking experience. @hirshhorn #InfiniteKusama https://t.co/K2Px9Cr1O8,,
#InfiniteKusama,8.57211E+17,mccrackenmolly,Only 19 more days of #infinitekusama @hirshhorn - it has been such an inspiring thing to be a (very small) part of.â€_ https://t.co/mNjwgnptgK,https://twitter.com/i/web/status/857210839312609280,
#InfiniteKusama,8.57203E+17,FcdwbgHPnvPMOPz,RT @Gothama1: Trippy times at the Infinity Mirrors exhibit at the @hirshhorn   #infinitekusama https://t.co/0XqA4z0Oo9,,
#InfiniteKusama,8.57171E+17,travelwhisperau,"RT @hirshhorn: Thank you for visiting #InfiniteKusama, @NatGeoTravel! _ŸŒ__Ÿ_¨ Explore the exhibition via Facebook Live: https://t.co/4gZ0KQ1iZwâ€_",http://bit.ly/NGTKusama,
