Hashtag,id,screen_name,Tweet Text,URL
#YayoiKusama,857399341673316352,Markquitoss,Polka-dots are a way to infinity. #yayoikusama #infinityroom @ Hirshhorn Museum and Sculpture… https://t.co/usMTRhwo7N,https://www.instagram.com/p/BTXp8MAASQz/
#YayoiKusama,857381874636791808,MySusume,Editing now 🎬#yayoikusama #roppongi #tokyo #artist #art #草間彌生 #六本木 #東京 #美術館 #weekend #throwbackthursday #yt #mood https://t.co/Jjgj8BNlr8,
#YayoiKusama,857374406406000641,MANMWA2,Visiting the #YayoiKusama exhibition w fellow members of the @WomenInTheArts Advisory Board. Great colleagues &amp; fri… https://t.co/3khja8cfX9,https://twitter.com/i/web/status/857374406406000641
#YayoiKusama,857370022926266368,KristenMooney,latest google search. #yayoikusama #goals https://t.co/MdapfimN9q,
#YayoiKusama,857336054944325632,AndieDeArment,Through rose colored glasses... #nofilter #hirshhorn #yayoikusama #kusama #kusamayayoi #art… https://t.co/sLzU7ioOxO,https://www.instagram.com/p/BTXNJ4aFBo7/
#YayoiKusama,857333146043334656,lubrenner,New artist is up! #YayoiKusama. Subscribe to receive notifications of new posts ;) #contemporaryart #arts @Medium https://t.co/ZYPysZIVUz,https://medium.com/@lubrenner/series
#YayoiKusama,857327900084883456,nontapila,"#くまバカtokyo #くまバカart #art 
#くまバカmuseo #musee #museo #国立新美術館草間彌生展 #国立新美術館 #水玉 #dots #yayoikusama… https://t.co/23mIayKjuU",https://www.instagram.com/p/BTXJdDKA2wr/
#YayoiKusama,857325373608144898,Its_LaurenYo,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,857321889823371266,danijuarezxx,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,857318561789825025,goodlysnow,"RT @juhitariq: Me, when I finally obtain a pass to see the #infinitekusama exhibit @hirshhorn #hirshorn #YayoiKusama https://t.co/GSgOfZI3N2",
#YayoiKusama,857313231093805056,shotbysix,New blog post is up via https://t.co/N70CXfNiBs #hirshornmuseum #yayoikusama #infinitymirrors,http://shotbysix.com
#YayoiKusama,857293567739482112,whilebiebz,"RT @BigBangBrazil: [INSTAGRAM]
Atualização de Taeyang

""#yayoikusama""

via: _youngbae_ https://t.co/YE4NJXOXmq",
#YayoiKusama,857281700988166144,romina_provenzi,"RT @ElephantMag: ""It offers a unique opportunity to a predominately Japanese audience"" @romina_provenzi on #YayoiKusama at #NACT https://t.…",
#YayoiKusama,857281240533274625,Iaurenfeels,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,857277860272328706,JiveOxford,"RT @romina_provenzi: @ElephantMag In a rainy day in Tokyo visiting #YayoiKusama #NACT , in a rainy day in Oxford reading my review @Elephan…",
#YayoiKusama,857277005808750593,mgavsar77,#OrchidsOfinstagram #OrchidsLife #Orchids #YayoiKusama… https://t.co/rlpVaAXnkF,https://www.instagram.com/p/BTWyTxsDC45233MqshQBiaglNG_6LBec96KLpA0/
#YayoiKusama,857276382036078592,romina_provenzi,"@ElephantMag In a rainy day in Tokyo visiting #YayoiKusama #NACT , in a rainy day in Oxford reading my review @Elep… https://t.co/QGkPOzWidi",https://twitter.com/i/web/status/857276382036078592
#YayoiKusama,857275967626149888,diegozniga,"🔴⚪️🔴⚪️
RED DOTS SHIRT | 
 ------------------------
#worldwide #diegozuñiga  #diegozunigamenswear #yayoikusama... https://t.co/7xfnHGjkyN",http://fb.me/21wtHqi64
#YayoiKusama,857260890709794816,cartonmagazine,"Smashing Pumpkins 🎃
cc @maisonstandards (trench support 😆) #YayoiKusama #exhibition #arty… https://t.co/4KVhcyOrTW",https://www.instagram.com/p/BTWq9_LlXQ4/
#YayoiKusama,857260262516113408,ayanami116,The infinity mirror room @TheBroad was mesmerizing #art #thebroad #YayoiKusama #infinitymirrors #DTLA https://t.co/5B9wynPCgC,
#YayoiKusama,857257274418630656,bittenword,"Seeing spots.
(Final #yayoikusama post. Promise.) https://t.co/pcMnFWedV4",
#YayoiKusama,857255821461401600,JKayePhotos,When you match your shoes to the #YayoiKusama exhibit 🔴 #perfection @hirshhorn @smithsonian @Converse https://t.co/vEd1qHveRs,
#YayoiKusama,857249467451310080,missmandyylyn,"#HappinessIs: when you manage to snag not one, but two pieces from the #LimitedEdition #YoshidaPorter x… https://t.co/Y5Btn4uipB",https://twitter.com/i/web/status/857249467451310080
#YayoiKusama,857234722396786688,wishjaguar,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,857232486572621825,tipsyarthistory,"RT @ElephantMag: ""It offers a unique opportunity to a predominately Japanese audience"" @romina_provenzi on #YayoiKusama at #NACT https://t.…",
#YayoiKusama,857231810450923520,WYKayleigh,"YESSH! Fucking finally.

#YayoiKusama #hirshhorn #ineedmorecaffeine https://t.co/CscG5O2TJG",https://www.instagram.com/p/BTWdwfbAYjx/
#YayoiKusama,857218901901545473,ElephantMag,"""It offers a unique opportunity to a predominately Japanese audience"" @romina_provenzi on #YayoiKusama at #NACT… https://t.co/2BvPOyQ8D2",https://twitter.com/i/web/status/857218901901545473
#YayoiKusama,857217730428235776,ECCTeachinJapan,"Until May 22nd, Yayoi Kusama's ""My Eternal Soul"" is up in Tokyo!
#YayoiKusama #art #polkadotsonpolkadots… https://t.co/THetFIeOXs",https://twitter.com/i/web/status/857217730428235776
#YayoiKusama,857216181429653505,high_snake,"RT @tanakamacoto: こないだ行った草間彌生展のレシートで制作。
新国立美術館の物販のレシートってちゃんとタイトル入るから嬉しいよね。

#草間彌生 #yayoikusama #我が永遠の魂 #新国立美術館 

#タナカマコト #tanakamacoto #切り絵…",
#YayoiKusama,857213767398109185,WYKayleigh,Got here at 7:30 this morning to try to get walk-up tickets for the #YayoiKusama exhibit.… https://t.co/npMXeUgRpi,https://www.instagram.com/p/BTWVjYnA_3V/
#YayoiKusama,857198214696620033,mirunam14,RT @LaurenJauregui: #YayoiKusama https://t.co/2BEL67UUuB,
#YayoiKusama,857187666546262016,EduardaWatson1,RT @LaurenJauregui: I'm a couple days late but happy birthday to the beautiful work of art that is #yayoikusama I… https://t.co/TKbWWgFqeG,https://www.instagram.com/p/BSBQtFPlIl0/
#YayoiKusama,857187631054061569,EduardaWatson1,RT @LaurenJauregui: Punkin #yayoikusama https://t.co/cKC7PC40ZW,https://www.instagram.com/p/BSBTT5xFpYT/
#YayoiKusama,857165155226046465,Emilie0531,"RT @tanakamacoto: こないだ行った草間彌生展のレシートで制作。
新国立美術館の物販のレシートってちゃんとタイトル入るから嬉しいよね。

#草間彌生 #yayoikusama #我が永遠の魂 #新国立美術館 

#タナカマコト #tanakamacoto #切り絵…",
#YayoiKusama,857162348737560576,modgraphica,"RT @tanakamacoto: こないだ行った草間彌生展のレシートで制作。
新国立美術館の物販のレシートってちゃんとタイトル入るから嬉しいよね。

#草間彌生 #yayoikusama #我が永遠の魂 #新国立美術館 

#タナカマコト #tanakamacoto #切り絵…",
#YayoiKusama,857162340588023811,brindledyouth,"RT @formichetti: Tokyo Love ❤️ #yayoikusama 🎃 @ The National Art Center, Tokyo https://t.co/NGTVeWUtyN",https://www.instagram.com/p/BTV8I3vjxiz/
#YayoiKusama,857160339141611520,satmochi,熱い視線👁 #草間彌生わが永遠の魂  #草間彌生 #国立新美術館 #前衛芸術 #水玉 #dot #yayoikusama  #art #objet @ 国立新美術館 https://t.co/FP11Bf9vwy,https://www.instagram.com/p/BTV9QVmAA9G/
#YayoiKusama,857157886925045763,formichetti,"Tokyo Love ❤️ #yayoikusama 🎃 @ The National Art Center, Tokyo https://t.co/NGTVeWUtyN",https://www.instagram.com/p/BTV8I3vjxiz/
#YayoiKusama,857152779881721856,sec_naomio,"南瓜♡

#pumpkin #ginza #ginzasix #objet  #instatravel #instatravel #yayoikusama #やよいちゃん #オブジェ https://t.co/2BJSPTP6KR",https://www.instagram.com/p/BTV50W2jLyU/
#YayoiKusama,857138314499039232,syusyuyoshio,"RT @tanakamacoto: こないだ行った草間彌生展のレシートで制作。
新国立美術館の物販のレシートってちゃんとタイトル入るから嬉しいよね。

#草間彌生 #yayoikusama #我が永遠の魂 #新国立美術館 

#タナカマコト #tanakamacoto #切り絵…",
#YayoiKusama,857126011506491393,ReinhardReren,"My Eternal Soul 
by Yayoi Kusama

Special thanks to kak samanthadodds!

#yayoikusama #postcard… https://t.co/DIXWlPbEHM",https://www.instagram.com/p/BTVtpRig4TE/
